Unique Method Stereotype,Method Count
void-accessor command collaborator,1
factory collaborator incidental,1
get property set collaborator,1
get wrapper,1
get property non-void-command collaborator,8
factory wrapper,1
get non-void-command factory collaborator,2
get property,2
predicate,29
property non-void-command,375
property non-void-command factory collaborator,463
predicate set,8
get set factory collaborator,1
property factory controller,25
get property factory collaborator,3
collaborator incidental,468
empty,112
property set collaborator,12
property collaborator,6
stateless,4
get set,12
incidental,117
controller,120
copy-constructor,122
wrapper,88
predicate non-void-command collaborator,213
get collaborator,280
factory wrapper stateless,14
get,237
get factory,1
predicate collaborator,2
factory controller stateless,242
property,39
command collaborator,3928
unclassified,3
property controller,89
property non-void-command collaborator,3599
predicate non-void-command,130
property factory,10
controller stateless,785
non-void-command factory collaborator,210
predicate controller,8
property wrapper,223
get non-void-command collaborator,17
get command,1
wrapper stateless,387
constructor,1314
factory controller,69
get property controller,3
set,201
factory stateless,3
get predicate non-void-command collaborator,4
factory collaborator stateless,53
predicate set collaborator,1
collaborator,3
set factory collaborator,2
property non-void-command factory,4
collaborator stateless,22
get set collaborator,13
set collaborator,117
non-void-command,13
property set,10
get non-void-command,6
non-void-command collaborator,16
predicate wrapper,19
get property wrapper,8
get property collaborator,2
get property non-void-command,6
command,2129
property factory wrapper,13
property factory collaborator,12
Total,16443
