Unique Method Stereotype,Method Count
get property set,1
factory collaborator stateless,1
set factory collaborator,1
collaborator stateless,1
property factory controller,1
get property factory collaborator,1
get property non-void-command,8
property,7
unclassified,3
factory collaborator incidental,1
property set,16
property factory collaborator,1
void-accessor set,2
void-accessor command,10
predicate wrapper,9
get collaborator,37
stateless,2
property set collaborator,13
get non-void-command,4
wrapper,35
get set,1
controller stateless,199
constructor,232
set,39
command,167
factory controller,1
empty,43
wrapper stateless,19
void-accessor command collaborator,18
command collaborator,105
get non-void-command collaborator,2
property wrapper,46
copy-constructor,4
incidental,22
controller,23
predicate non-void-command collaborator,55
predicate controller,5
non-void-command factory collaborator,7
property controller,19
set collaborator,10
property non-void-command collaborator,72
property factory,1
predicate non-void-command,17
get property non-void-command collaborator,3
get,73
collaborator incidental,24
factory wrapper stateless,11
property collaborator,1
predicate set,1
property non-void-command,75
property non-void-command factory collaborator,39
factory controller stateless,18
Total,1506
