Unique Method Stereotype,Method Count
get set collaborator,1
get wrapper,1
collaborator incidental,1
void-accessor command,3
property wrapper,4
non-void-command collaborator,1
wrapper stateless,6
empty,2
command,8
destructor,3
wrapper,13
controller,1
constructor,52
set collaborator,4
property non-void-command collaborator,22
property,16
void-accessor command collaborator,3
property collaborator,12
property controller,18
controller stateless,13
get collaborator,1
incidental,7
get non-void-command collaborator,1
command collaborator,8
void-accessor wrapper,1
copy-constructor,2
get,3
Total,207
