Unique Method Stereotype,Method Count
get non-void-command,1
get factory collaborator,1
property factory wrapper,1
factory wrapper stateless,2
controller stateless,103
get collaborator,9
predicate non-void-command,14
predicate wrapper,2
non-void-command factory collaborator,3
property controller,7
property non-void-command collaborator,49
set collaborator,10
constructor,58
set,16
command,49
factory controller,1
empty,2
command collaborator,110
property wrapper,3
get non-void-command collaborator,5
copy-constructor,2
incidental,4
predicate non-void-command collaborator,9
controller,23
wrapper,28
factory collaborator stateless,4
collaborator stateless,5
void-accessor command collaborator,1
wrapper stateless,198
void-accessor wrapper,1
property factory collaborator,1
property non-void-command,13
property non-void-command factory collaborator,3
get,6
get property non-void-command collaborator,1
collaborator incidental,11
Total,756
