Unique Class Stereotype,Class Count
controller degenerate,2
entity factory controller,1
boundary degenerate small-class,19
commander data-class small-class,2
boundary data-class small-class,1
commander boundary data-class small-class,2
large-class degenerate,1
entity boundary small-class,10
small-class,5
commander data-class,1
factory pure-controller degenerate small-class,2
entity commander boundary,4
pure-controller degenerate small-class,13
data-provider boundary small-class,2
commander lazy-class,1
commander boundary small-class,12
commander degenerate,1
commander,1
empty,102
unclassified,3
controller small-class,3
data-provider boundary data-class small-class,1
entity boundary,8
commander boundary,6
boundary degenerate,3
data-provider small-class,1
degenerate,3
boundary,1
pure-controller degenerate,1
factory degenerate small-class,4
factory controller small-class,1
degenerate small-class,2
Total,219
