Unique Method Stereotype,Method Count
property non-void-command,7
wrapper stateless,6
factory controller,3
property wrapper,1
predicate non-void-command collaborator,1
property non-void-command factory collaborator,5
property,9
command,14
empty,6
property controller,3
controller stateless,8
factory controller stateless,3
get non-void-command,3
factory collaborator stateless,4
get controller,3
get,126
incidental,5
get collaborator,3
non-void-command factory collaborator,1
property non-void-command collaborator,159
set collaborator,3
command collaborator,21
get non-void-command collaborator,15
factory wrapper stateless,1
property factory wrapper,1
constructor,24
set,127
Total,562
