Unique Class Stereotype,Class Count
lazy-class,1
minimal-entity boundary,1
data-provider,2
minimal-entity lazy-class,1
data-provider boundary lazy-class degenerate,1
boundary degenerate small-class,6
data-provider boundary,3
data-class,2
data-provider small-class,3
commander boundary lazy-class degenerate,1
pure-controller degenerate,3
minimal-entity commander boundary,1
boundary small-class,2
commander data-class small-class,4
entity minimal-entity commander boundary,1
commander boundary,26
boundary degenerate,2
controller small-class,7
unclassified,14
small-class,9
entity boundary small-class,4
commander boundary small-class,11
entity boundary,29
pure-controller degenerate small-class,19
entity commander boundary,15
empty,165
commander,4
factory controller data-class small-class,1
data-provider boundary small-class,8
commander boundary data-class small-class,1
commander small-class,3
boundary lazy-class,1
degenerate small-class,22
boundary lazy-class degenerate,1
boundary,21
degenerate,2
Total,397
