Unique Class Stereotype,Class Count
entity factory controller small-class,1
boundary data-class,1
commander boundary small-class,1
data-provider boundary small-class,2
degenerate small-class,3
controller,1
boundary degenerate small-class,14
commander lazy-class degenerate,1
lazy-class small-class,1
entity boundary,12
commander boundary,15
boundary degenerate,4
entity boundary small-class,18
small-class,6
data-provider boundary,5
pure-controller degenerate,2
commander boundary data-class small-class,5
entity boundary degenerate,1
commander small-class,1
factory controller small-class,1
controller degenerate,2
commander lazy-class small-class,1
factory controller degenerate,1
factory degenerate small-class,1
commander,7
empty,119
controller small-class,1
unclassified,4
boundary,6
degenerate,1
boundary small-class,1
commander data-class small-class,1
commander lazy-class,1
data-provider data-class small-class,1
entity commander boundary,13
pure-controller degenerate small-class,1
Total,256
