Unique Class Stereotype,Class Count
factory controller degenerate,1
boundary large-class,1
entity factory controller,1
large-class degenerate,1
entity boundary lazy-class degenerate,1
controller data-class small-class,1
commander boundary lazy-class,1
boundary small-class,1
entity minimal-entity boundary lazy-class,1
commander lazy-class small-class,1
data-provider boundary degenerate,1
boundary lazy-class,5
boundary lazy-class degenerate,9
lazy-class degenerate,5
data-provider lazy-class degenerate,1
controller degenerate,45
controller small-class,24
unclassified,453
entity boundary degenerate,6
entity commander boundary,67
entity boundary data-class small-class,1
lazy-class small-class,1
factory pure-controller small-class,3
boundary degenerate small-class,49
pure-controller small-class,21
boundary,309
large-class,2
degenerate small-class,27
entity,14
factory degenerate,2
data-provider boundary lazy-class degenerate,2
pure-controller degenerate small-class,139
entity boundary small-class,68
small-class,94
data-provider lazy-class small-class,1
empty,765
entity small-class,10
factory controller,6
commander boundary degenerate,4
degenerate,142
controller lazy-class degenerate,5
entity data-class,1
data-provider boundary data-class small-class,20
data-provider data-class small-class,26
commander boundary lazy-class degenerate,2
data-provider,70
minimal-entity controller,1
boundary degenerate,54
commander boundary,427
factory pure-controller degenerate small-class,13
commander boundary data-class small-class,6
commander,240
entity boundary,184
data-class,14
commander data-class small-class,7
data-provider data-class,8
commander boundary small-class,91
boundary data-class small-class,2
commander boundary data-class,1
commander lazy-class,1
commander small-class,67
boundary data-class,4
entity factory controller small-class,12
factory degenerate small-class,9
entity minimal-entity boundary,5
data-provider boundary,23
pure-controller,8
controller,40
data-provider boundary small-class,6
lazy-class,5
data-class small-class,3
factory controller small-class,19
commander degenerate,3
pure-controller degenerate,90
entity data-provider boundary,9
data-provider small-class,9
data-provider degenerate,1
data-provider boundary data-class,5
data-provider lazy-class,2
Total,3779
