Unique Class Stereotype,Class Count
entity data-provider boundary,1
controller small-class,1
pure-controller,1
factory degenerate,5
boundary data-class small-class,1
commander boundary data-class small-class,1
factory degenerate small-class,3
commander small-class,2
large-class,1
degenerate,3
controller,2
commander boundary,13
commander boundary small-class,13
commander,1
data-provider boundary small-class,2
entity commander boundary,5
boundary,11
pure-controller degenerate,12
empty,361
unclassified,4
entity boundary small-class,7
pure-controller degenerate small-class,8
entity boundary,24
entity,2
entity small-class,3
Total,487
