Unique Class Stereotype,Class Count
factory small-class,1
entity boundary lazy-class degenerate,1
data-provider boundary degenerate,1
large-class,1
factory controller,3
boundary lazy-class degenerate,3
lazy-class data-class small-class,1
entity boundary data-class small-class,2
data-provider boundary lazy-class,4
data-provider boundary lazy-class degenerate,1
factory degenerate,4
boundary small-class,7
data-provider data-class,8
commander data-class small-class,3
entity boundary degenerate,6
commander small-class,60
boundary data-class,18
entity degenerate,1
commander boundary degenerate,7
factory pure-controller degenerate,2
controller lazy-class degenerate,1
degenerate,141
boundary,184
pure-controller small-class,14
entity,2
entity small-class,10
data-provider lazy-class small-class,2
empty,666
commander boundary data-class small-class,2
entity boundary,97
commander,169
data-class,35
entity commander boundary,36
commander boundary small-class,109
commander boundary lazy-class,1
factory controller data-class small-class,2
boundary degenerate,52
commander boundary,160
unclassified,274
controller small-class,22
boundary degenerate small-class,118
factory degenerate small-class,69
controller degenerate,40
entity commander boundary degenerate,1
entity minimal-entity commander boundary,1
small-class,86
pure-controller degenerate small-class,237
entity boundary small-class,109
lazy-class degenerate,8
factory pure-controller degenerate small-class,12
boundary lazy-class,6
degenerate small-class,123
data-provider data-class small-class,16
data-provider boundary data-class small-class,20
data-provider,23
pure-controller degenerate,78
entity data-provider boundary,4
boundary data-class small-class,9
data-provider lazy-class degenerate,7
entity minimal-entity boundary,18
data-provider boundary,8
entity factory controller small-class,6
data-provider boundary data-class,10
data-provider degenerate,1
data-provider boundary small-class,8
controller,14
pure-controller,5
minimal-entity boundary,3
data-class small-class,8
factory controller small-class,20
commander degenerate,6
lazy-class,4
data-provider small-class,8
boundary controller,2
Total,3201
