Unique Class Stereotype,Class Count
pure-controller,1
commander degenerate,1
entity,1
controller,1
data-provider boundary lazy-class degenerate,1
controller degenerate,1
entity boundary,7
boundary data-class small-class,3
entity boundary small-class,11
small-class,7
pure-controller degenerate,7
minimal-entity commander boundary,1
boundary degenerate small-class,4
factory pure-controller small-class,1
pure-controller degenerate small-class,9
entity commander boundary,2
commander small-class,6
commander boundary,37
boundary degenerate,8
commander boundary small-class,5
degenerate small-class,1
data-provider,2
data-provider data-class,3
boundary small-class,1
commander boundary data-class,1
unclassified,36
controller small-class,4
boundary,9
pure-controller small-class,2
degenerate,7
boundary data-class,1
commander boundary degenerate,2
empty,35
commander,47
entity small-class,1
Total,266
