Unique Class Stereotype,Class Count
degenerate small-class,1
minimal-entity boundary,1
entity boundary small-class,3
data-provider lazy-class,1
data-provider boundary,11
data-provider boundary data-class small-class,3
small-class,10
commander boundary degenerate,1
pure-controller degenerate small-class,123
entity boundary,5
commander boundary,3
boundary degenerate,5
entity minimal-entity boundary,4
entity boundary degenerate,1
minimal-entity data-provider boundary,1
commander small-class,2
controller small-class,9
unclassified,16
empty,340
commander,3
data-provider boundary small-class,15
pure-controller degenerate,6
commander boundary small-class,2
boundary degenerate small-class,20
data-provider,2
entity data-provider boundary,5
data-provider boundary data-class,1
entity boundary lazy-class,1
data-provider data-class,2
boundary small-class,6
commander data-class small-class,1
pure-controller small-class,1
boundary,11
degenerate,17
boundary data-class small-class,1
controller degenerate,4
Total,638
