Unique Class Stereotype,Class Count
entity minimal-entity boundary,1
boundary controller,1
lazy-class degenerate,1
controller lazy-class degenerate,1
commander boundary degenerate,1
pure-controller,1
lazy-class,1
factory degenerate small-class,4
data-provider small-class,3
entity,4
data-provider,1
boundary data-class small-class,1
data-provider lazy-class degenerate,1
boundary lazy-class degenerate,1
entity data-provider boundary,2
commander lazy-class small-class,1
data-provider boundary data-class small-class,1
pure-controller small-class,8
degenerate,11
boundary,26
pure-controller degenerate,3
commander boundary small-class,36
entity commander boundary degenerate,1
boundary degenerate small-class,21
degenerate small-class,72
controller small-class,5
unclassified,29
entity boundary small-class,18
small-class,14
boundary small-class,5
commander data-class small-class,2
entity boundary data-class small-class,1
entity commander boundary,26
pure-controller degenerate small-class,18
commander boundary,64
boundary degenerate,6
entity small-class,1
factory controller,4
empty,435
commander,19
factory controller data-class small-class,1
data-provider boundary small-class,5
factory small-class,1
controller,2
factory pure-controller degenerate small-class,7
entity factory controller small-class,6
commander boundary data-class small-class,1
entity boundary degenerate,1
commander small-class,12
data-class small-class,1
entity boundary,52
commander boundary lazy-class degenerate,1
factory controller small-class,19
data-provider boundary lazy-class small-class,1
Total,961
