Class Name,Class Stereotype,Method Name,Method Stereotype
"Tests","commander boundary degenerate","Tests::Tests","constructor",
"Tests","commander boundary degenerate","Tests::initTestCase","command",
"Tests","commander boundary degenerate","Tests::cleanupTestCase","command",
"Tests","commander boundary degenerate","Tests::init","command",
"Tests","commander boundary degenerate","Tests::cleanup","command",
"Tests","commander boundary degenerate","Tests::readLog","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandHelp","controller stateless",
"Tests","commander boundary degenerate","Tests::commandVersion","controller stateless",
"Tests","commander boundary degenerate","Tests::badCommand","wrapper stateless",
"Tests","commander boundary degenerate","Tests::badSessionName","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandCatchExceptions","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandExit","command",
"Tests","commander boundary degenerate","Tests::commandEval","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandEvalThrows","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandEvalSyntaxError","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandEvalArguments","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandEvalEndingWithComment","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandPrint","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandAbort","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandFail","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandSource","controller stateless",
"Tests","commander boundary degenerate","Tests::commandVisible","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandToggle","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandHide","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandShow","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandShowAt","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandFocused","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandsUnicode","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandsAddRead","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandsWriteRead","command collaborator",
"Tests","commander boundary degenerate","Tests::commandChange","wrapper stateless",
"Tests","commander boundary degenerate","Tests::commandSetCurrentTab","wrapper stateless",
