Unique Class Stereotype,Class Count
boundary degenerate,1
entity commander boundary,1
pure-controller degenerate small-class,1
data-provider small-class,1
data-provider boundary small-class,1
controller degenerate,2
entity boundary,4
data-provider boundary,4
commander boundary data-class,1
data-provider boundary data-class small-class,2
empty,17
unclassified,9
entity boundary degenerate,1
boundary data-class small-class,26
degenerate,15
entity data-provider boundary degenerate,1
commander boundary small-class,19
boundary,5
controller lazy-class degenerate,44
lazy-class,8
commander small-class,20
entity minimal-entity boundary,5
degenerate small-class,23
lazy-class degenerate,12
Total,223
