Unique Class Stereotype,Class Count
minimal-entity boundary,1
data-class,1
factory controller small-class,1
commander small-class,4
degenerate small-class,1
small-class,4
commander degenerate,1
commander boundary small-class,7
commander,14
boundary,1
unclassified,5
empty,21
controller,1
commander boundary,6
commander lazy-class small-class,2
boundary degenerate small-class,1
entity commander boundary,3
commander data-class small-class,16
entity boundary,5
data-provider boundary data-class,1
Total,96
