Unique Method Stereotype,Method Count
get predicate non-void-command collaborator,1
void-accessor command,3
predicate set collaborator,1
get factory collaborator,1
unclassified,2
factory collaborator,1
get property non-void-command,5
get non-void-command,24
property factory collaborator,7
predicate non-void-command,42
get controller,1
factory controller stateless,19
get property,2
predicate,9
predicate wrapper,6
void-accessor command collaborator,26
factory collaborator stateless,11
get set factory collaborator,1
wrapper stateless,122
property factory controller,7
predicate controller,6
non-void-command factory collaborator,31
get collaborator,202
get property controller,1
constructor,378
property set,2
set,592
command collaborator,292
factory controller,5
empty,83
command,167
controller stateless,190
set collaborator,106
property non-void-command collaborator,134
property controller,16
property collaborator,1
property non-void-command factory collaborator,15
property non-void-command,161
set factory collaborator,1
collaborator stateless,12
get property non-void-command collaborator,1
collaborator incidental,19
get,515
property set collaborator,6
stateless,6
copy-constructor,1
controller,27
incidental,82
predicate non-void-command collaborator,25
get non-void-command collaborator,59
property wrapper,10
factory wrapper stateless,2
property,15
get set collaborator,58
wrapper,5
get set,37
Total,3554
