Unique Method Stereotype,Method Count
void-accessor command,3
predicate set collaborator,2
property set collaborator,1
get set collaborator,13
void-accessor command collaborator,5
factory wrapper stateless,1
predicate collaborator,7
get property wrapper,1
void-accessor set collaborator,2
get non-void-command,22
predicate non-void-command,9
get property set,1
get predicate non-void-command,2
collaborator,3
get predicate collaborator,2
predicate controller,3
get collaborator,9
factory controller stateless,1
get controller,3
controller stateless,20
property,35
get non-void-command collaborator,10
property wrapper,7
property collaborator,13
property non-void-command factory collaborator,3
property non-void-command,42
get property,4
predicate wrapper,1
property controller,9
property non-void-command collaborator,34
set collaborator,11
unclassified,14
command,54
set,15
constructor,76
destructor,7
wrapper,7
get set,11
factory collaborator stateless,2
command collaborator,39
get property non-void-command,4
predicate non-void-command collaborator,25
copy-constructor,13
incidental,10
controller,3
get,32
collaborator incidental,19
get property non-void-command collaborator,4
wrapper stateless,5
predicate,30
Total,649
