Unique Method Stereotype,Method Count
get property non-void-command,4
property set collaborator,2
get property command collaborator,1
property command collaborator,2
collaborator,5
get set factory collaborator,1
property factory wrapper,2
void-accessor command collaborator,2
get property collaborator,1
set,25
get controller,4
factory wrapper stateless,2
predicate collaborator,5
get property wrapper,1
get non-void-command,3
property non-void-command factory collaborator,2
property non-void-command,17
property collaborator,42
factory collaborator incidental,1
property set,2
constructor,351
property controller,2
set collaborator,33
property non-void-command collaborator,50
predicate wrapper,4
predicate non-void-command,13
predicate controller,4
non-void-command factory collaborator,1
empty,48
command,130
unclassified,6
predicate,33
command collaborator,322
property wrapper,26
get non-void-command collaborator,5
destructor,158
factory collaborator stateless,1
wrapper,88
get set,1
get command collaborator,1
collaborator incidental,7
get,54
get collaborator,60
controller stateless,51
property,54
wrapper stateless,50
get wrapper,3
predicate non-void-command collaborator,4
controller,32
incidental,202
copy-constructor,18
property factory controller,18
property factory collaborator,7
Total,1961
