Unique Method Stereotype,Method Count
collaborator incidental,4
predicate,2
wrapper stateless,14
void-accessor command,1
command,3
wrapper,3
destructor,7
command collaborator,5
get non-void-command collaborator,5
copy-constructor,2
property non-void-command,21
set collaborator,4
property wrapper,7
predicate wrapper,1
property non-void-command collaborator,21
constructor,17
property set,9
set,2
incidental,9
get collaborator,4
get,3
controller stateless,2
property controller,1
property collaborator,2
Total,149
