Unique Class Stereotype,Class Count
entity minimal-entity,1
data-provider boundary lazy-class,1
controller data-class small-class,1
entity boundary data-class small-class,1
entity minimal-entity data-provider boundary,1
entity boundary data-class,1
large-class lazy-class degenerate,1
entity,1
lazy-class data-class,2
lazy-class data-class small-class,1
commander data-class,2
data-provider lazy-class,1
factory controller,2
data-provider boundary lazy-class degenerate,3
factory degenerate,5
commander boundary small-class,55
degenerate small-class,99
boundary lazy-class,5
entity boundary degenerate,25
factory pure-controller degenerate small-class,3
controller,15
pure-controller,3
data-provider boundary small-class,50
factory controller data-class small-class,1
entity small-class,12
data-provider small-class,28
controller lazy-class degenerate,1
degenerate,93
boundary,536
pure-controller small-class,15
entity commander boundary,37
commander boundary,95
boundary degenerate,71
empty,874
data-provider lazy-class small-class,7
unclassified,332
controller small-class,18
controller degenerate,7
boundary lazy-class degenerate,9
factory degenerate small-class,22
entity boundary lazy-class,4
boundary degenerate small-class,87
entity data-provider boundary,55
pure-controller degenerate,27
entity minimal-entity commander boundary,1
small-class,128
boundary data-class small-class,21
data-provider lazy-class degenerate,5
data-provider boundary data-class small-class,38
data-provider data-class small-class,35
data-provider boundary,155
entity minimal-entity boundary,25
data-provider,92
data-provider boundary degenerate,9
commander data-class small-class,17
boundary large-class degenerate,1
boundary small-class,17
data-provider data-class,7
entity factory controller,2
factory pure-controller small-class,1
lazy-class small-class,5
lazy-class,9
minimal-entity boundary,5
data-class small-class,13
factory controller small-class,20
commander degenerate,2
commander boundary degenerate,3
commander small-class,57
commander lazy-class,4
boundary data-class,21
pure-controller degenerate small-class,101
entity boundary small-class,200
minimal-entity commander boundary,3
data-provider degenerate,1
data-provider boundary data-class,11
lazy-class degenerate,11
commander boundary data-class small-class,5
commander,107
entity boundary,375
data-class,14
Total,4131
