Unique Method Stereotype,Method Count
property set,1
stateless,5
property set collaborator,1
non-void-command collaborator,1
predicate wrapper,1
property factory wrapper,1
get non-void-command factory collaborator,4
property factory collaborator,1
unclassified,1
predicate,3
property,2
get collaborator,46
factory collaborator stateless,17
wrapper,3
factory wrapper stateless,1
predicate collaborator,2
property factory controller,3
property wrapper,5
get non-void-command collaborator,5
command collaborator,355
set collaborator,51
property non-void-command collaborator,159
predicate non-void-command,32
predicate controller,5
non-void-command factory collaborator,5
constructor,146
set,21
command,300
factory controller,4
empty,41
factory controller stateless,33
controller stateless,52
wrapper stateless,28
predicate set,2
property non-void-command factory collaborator,19
property non-void-command,49
void-accessor command collaborator,2
set factory collaborator,2
collaborator stateless,8
void-accessor command,2
copy-constructor,1
incidental,49
controller,19
predicate non-void-command collaborator,36
collaborator incidental,27
get property non-void-command collaborator,5
get,17
Total,1573
