Unique Method Stereotype,Method Count
non-void-command collaborator,11
property,2
non-void-command,3
wrapper stateless,33
property non-void-command,2
factory collaborator stateless,1
wrapper,5
predicate non-void-command collaborator,1
property wrapper,18
command,33
collaborator incidental,7
command collaborator,59
controller stateless,17
property collaborator,2
get,8
incidental,7
get property collaborator,1
get collaborator,2
get set collaborator,2
set collaborator,20
predicate wrapper,2
predicate non-void-command,25
property non-void-command collaborator,15
constructor,66
set,22
Total,364
