Unique Class Stereotype,Class Count
data-provider degenerate,1
lazy-class degenerate,1
data-provider,1
data-provider boundary small-class,2
factory degenerate small-class,1
boundary degenerate,3
controller degenerate,2
factory controller small-class,2
data-class,2
boundary data-class small-class,2
degenerate small-class,8
entity boundary,4
data-class small-class,1
pure-controller degenerate,5
empty,70
commander,19
small-class,16
entity boundary small-class,2
commander boundary,8
controller,1
commander lazy-class small-class,1
boundary degenerate small-class,6
pure-controller degenerate small-class,10
entity commander boundary,2
data-provider small-class,1
commander boundary small-class,6
unclassified,39
controller small-class,1
data-provider boundary data-class small-class,3
data-provider boundary,2
degenerate,6
boundary,4
pure-controller small-class,2
pure-controller,2
commander small-class,11
boundary small-class,1
commander data-class small-class,2
Total,250
