Unique Method Stereotype,Method Count
unclassified,1
stateless,1
get non-void-command,1
get set collaborator,7
property factory controller,6
factory collaborator incidental,1
get predicate controller,2
collaborator stateless,11
controller stateless,59
property,36
constructor,121
set,74
property factory wrapper,5
predicate controller,3
non-void-command factory collaborator,8
predicate non-void-command,9
get controller,2
factory controller stateless,3
get non-void-command collaborator,7
property wrapper,8
get property,3
collaborator incidental,30
get,78
command collaborator,98
command,33
factory controller,5
empty,13
wrapper stateless,20
property controller,6
property non-void-command collaborator,97
set collaborator,24
property non-void-command factory collaborator,1
property non-void-command,38
property collaborator,1
get collaborator,18
predicate non-void-command collaborator,14
incidental,25
controller,11
predicate,12
get set,9
wrapper,6
factory collaborator stateless,15
property factory collaborator,7
Total,929
