Unique Class Stereotype,Class Count
minimal-entity data-provider boundary,1
controller data-class small-class,2
entity boundary lazy-class degenerate,1
entity boundary data-class,1
commander boundary lazy-class degenerate,1
commander boundary degenerate,5
entity boundary data-class small-class,2
entity factory controller degenerate,1
data-provider lazy-class,16
entity minimal-entity data-provider boundary,1
entity data-provider boundary data-class,1
boundary controller,1
factory controller degenerate,4
factory degenerate,1
data-provider boundary lazy-class degenerate,6
controller degenerate,22
boundary lazy-class degenerate,42
entity minimal-entity boundary lazy-class,1
boundary small-class,5
data-provider data-class,30
data-provider,75
entity small-class,18
factory controller,5
degenerate small-class,97
boundary lazy-class,11
entity commander boundary,63
entity boundary degenerate,7
factory pure-controller degenerate small-class,8
entity factory controller small-class,15
commander,328
data-class,170
commander boundary data-class small-class,1
entity boundary,306
degenerate,275
boundary,368
pure-controller small-class,18
commander boundary small-class,89
lazy-class,26
entity minimal-entity commander boundary,2
small-class,232
minimal-entity commander boundary,4
pure-controller degenerate small-class,92
entity boundary small-class,113
unclassified,653
controller small-class,35
boundary degenerate,69
commander boundary,327
boundary degenerate small-class,98
factory degenerate small-class,27
entity,13
empty,1177
data-provider lazy-class small-class,12
data-provider lazy-class degenerate,65
boundary data-class small-class,22
commander small-class,117
boundary data-class,49
data-provider boundary,34
entity minimal-entity boundary,17
entity minimal-entity,2
lazy-class degenerate,167
minimal-entity boundary,4
data-class small-class,14
commander degenerate,14
factory controller small-class,21
data-provider boundary lazy-class small-class,17
boundary large-class lazy-class degenerate,1
data-provider data-class small-class,72
data-provider boundary data-class small-class,69
pure-controller degenerate,61
entity data-provider boundary,15
pure-controller,6
controller,22
data-provider boundary small-class,8
entity factory controller,5
factory pure-controller small-class,2
lazy-class small-class,32
data-provider degenerate,1
data-provider boundary data-class,20
data-provider boundary lazy-class,12
data-provider small-class,5
Total,5752
