Unique Class Stereotype,Class Count
data-provider lazy-class degenerate,1
factory degenerate small-class,2
commander data-class small-class,1
data-provider data-class,1
controller lazy-class,1
minimal-entity commander boundary,1
data-provider boundary data-class,1
data-provider boundary data-class small-class,1
pure-controller,1
boundary data-class,1
minimal-entity boundary,2
lazy-class degenerate,1
entity data-provider boundary lazy-class,1
entity data-provider boundary,2
entity minimal-entity boundary,5
factory pure-controller small-class,2
entity commander boundary,4
pure-controller degenerate small-class,42
data-class,9
boundary degenerate small-class,21
small-class,17
entity boundary small-class,9
factory controller small-class,1
controller degenerate,4
commander boundary small-class,40
pure-controller degenerate,10
empty,75
commander,16
entity minimal-entity commander boundary,1
commander boundary,13
boundary degenerate,9
boundary,19
pure-controller small-class,10
degenerate,9
entity boundary,27
data-class small-class,1
controller,1
factory pure-controller degenerate small-class,1
data-provider data-class small-class,4
data-provider,11
commander boundary data-class small-class,1
commander small-class,11
entity boundary degenerate,1
entity,2
data-provider lazy-class small-class,1
boundary lazy-class,1
degenerate small-class,3
unclassified,54
controller small-class,3
data-provider boundary,3
data-provider small-class,1
Total,459
