Unique Method Stereotype,Method Count
void-accessor command collaborator,2
void-accessor command,1
predicate,2
predicate non-void-command,1
empty,1
factory controller,2
property wrapper,1
get non-void-command collaborator,2
non-void-command collaborator,1
get collaborator,287
command collaborator,108
controller stateless,34
set,420
constructor,113
wrapper stateless,19
get set factory collaborator,1
property controller,4
set collaborator,193
property non-void-command collaborator,556
non-void-command factory collaborator,24
property non-void-command,167
property non-void-command factory collaborator,9
command,154
factory wrapper stateless,3
non-void-command,3
controller,1
incidental,1
predicate non-void-command collaborator,45
get non-void-command,68
factory collaborator stateless,2
unclassified,1
factory collaborator,34
get,585
collaborator incidental,6
get controller,68
factory controller stateless,7
get property non-void-command,34
property,6
property factory collaborator,1
Total,2967
